Programme...:	MICH
Date........:	   202021-04-
Heure.......:	     6 16:25:
Colonnes....:	            3
Lignes......:	          337
Décalage....:	           17
Commentaires:	essaie 4, modulage de 10

P.abs.i.(mp):	 1.5150100E+5	P.cal.i.(µm):	-4.2692683E+0	V_min___(mV):	 8.7713730E+5	
P.abs.f.(mp):	 1.5217300E+5	P.cal.f.(µm):	 3.7445538E+0	V_max___(mV):	 5.2784562E+5	
Nbre_de_pts_:	 3.3700000E+2	Délai___(ms):	 7.0000000E+1	Calibration_:	 8.3200000E+0	
Source......:	lumiere blanche - filtre-rouge	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 8.7130210E+6	-4.2692683E+0	 6.7904252E+2	
 8.7132290E+6	-4.2454177E+0	 6.7904252E+2	
 8.7135080E+6	-4.2215670E+0	 6.7904252E+2	
 8.7137870E+6	-4.1977163E+0	 6.7904252E+2	
 8.7140670E+6	-4.1738657E+0	 6.7879826E+2	
 8.7143460E+6	-4.1500150E+0	 6.7879826E+2	
 8.7146250E+6	-4.1261644E+0	 6.7879826E+2	
 8.7662910E+6	 2.8620793E-1	 6.5852469E+2	
 8.7665710E+6	 3.1005859E-1	 6.5950173E+2	
 8.7668500E+6	 3.3390925E-1	 6.6218859E+2	
 8.7671290E+6	 3.5775992E-1	 6.6634101E+2	
 8.7674090E+6	 3.8161058E-1	 6.7195898E+2	
 8.7676880E+6	 4.0546124E-1	 6.7806548E+2	
 8.7679670E+6	 4.2931190E-1	 6.8441623E+2	
 8.7682460E+6	 4.5316256E-1	 6.9052273E+2	
 8.7685260E+6	 4.7701322E-1	 6.9638497E+2	
 8.7688050E+6	 5.0086388E-1	 7.0004886E+2	
 8.7690840E+6	 5.2471454E-1	 7.0224720E+2	
 8.7693640E+6	 5.4856520E-1	 7.0371276E+2	
 8.7696430E+6	 5.7241587E-1	 7.0346850E+2	
 8.7699220E+6	 5.9626653E-1	 7.0151442E+2	
 8.7702010E+6	 6.2011719E-1	 6.9760627E+2	
 8.7704800E+6	 6.4396785E-1	 6.9296533E+2	
 8.7707590E+6	 6.6781851E-1	 6.8759161E+2	
 8.7710380E+6	 6.9166917E-1	 6.8246216E+2	
 8.7713180E+6	 7.1551983E-1	 6.7782122E+2	
 8.7715970E+6	 7.3937049E-1	 6.7611140E+2	
 8.7718760E+6	 7.6322115E-1	 6.7659992E+2	
 8.7721560E+6	 7.8707181E-1	 6.7806548E+2	
 8.7724350E+6	 8.1092248E-1	 6.8001956E+2	
 8.7727140E+6	 8.3477314E-1	 6.8221790E+2	
 8.7729940E+6	 8.5862380E-1	 6.8417197E+2	
 8.7732730E+6	 8.8247446E-1	 6.8417197E+2	
 8.7735520E+6	 9.0632512E-1	 6.8295068E+2	
 8.7738310E+6	 9.3017578E-1	 6.7977530E+2	
 8.7741110E+6	 9.5402644E-1	 6.7415732E+2	
 8.7743900E+6	 9.7787710E-1	 6.6682953E+2	
 8.7746690E+6	 1.0017278E+0	 6.5828043E+2	
 8.7749490E+6	 1.0255784E+0	 6.5046412E+2	
 8.7752280E+6	 1.0494291E+0	 6.4533466E+2	
 8.7755070E+6	 1.0732797E+0	 6.4313632E+2	
 8.7757860E+6	 1.0971304E+0	 6.4606744E+2	
 8.7760660E+6	 1.1209811E+0	 6.5583783E+2	
 8.7763450E+6	 1.1448317E+0	 6.7122620E+2	
 8.7766240E+6	 1.1686824E+0	 6.9052273E+2	
 8.7769040E+6	 1.1925331E+0	 7.1201760E+2	
 8.7771830E+6	 1.2163837E+0	 7.3253542E+2	
 8.7774620E+6	 1.2402344E+0	 7.4963361E+2	
 8.7777420E+6	 1.2640850E+0	 7.6135808E+2	
 8.7780210E+6	 1.2879357E+0	 7.6624328E+2	
 8.7783000E+6	 1.3117864E+0	 7.6551050E+2	
 8.7785780E+6	 1.3356370E+0	 7.5671715E+2	
 8.7788580E+6	 1.3594877E+0	 7.3986322E+2	
 8.7791370E+6	 1.3833383E+0	 7.1397167E+2	
 8.7794160E+6	 1.4071890E+0	 6.8148512E+2	
 8.7796960E+6	 1.4310397E+0	 6.4631170E+2	
 8.7799750E+6	 1.4548903E+0	 6.1260378E+2	
 8.7802540E+6	 1.4787410E+0	 5.8426964E+2	
 8.7805340E+6	 1.5025916E+0	 5.6619442E+2	
 8.7808130E+6	 1.5264423E+0	 5.6863701E+2	
 8.7810920E+6	 1.5502930E+0	 5.7816315E+2	
 8.7813710E+6	 1.5741436E+0	 5.9404004E+2	
 8.7816510E+6	 1.5979943E+0	 6.1895454E+2	
 8.7819300E+6	 1.6218450E+0	 6.5412802E+2	
 8.7822090E+6	 1.6456956E+0	 6.9638497E+2	
 8.7824890E+6	 1.6695463E+0	 7.3986322E+2	
 8.7827680E+6	 1.6933969E+0	 7.8407425E+2	
 8.7830470E+6	 1.7172476E+0	 8.2510990E+2	
 8.7833270E+6	 1.7410983E+0	 8.5832930E+2	
 8.7836060E+6	 1.7649489E+0	 8.7151933E+2	
 8.7838850E+6	 1.7887996E+0	 8.7713730E+2	
 8.7841640E+6	 1.8126502E+0	 8.7396193E+2	
 8.7844440E+6	 1.8365009E+0	 8.5906208E+2	
 8.7847230E+6	 1.8603516E+0	 8.3341479E+2	
 8.7850020E+6	 1.8842022E+0	 7.9824132E+2	
 8.7852820E+6	 1.9080529E+0	 7.5867122E+2	
 8.7855610E+6	 1.9319035E+0	 7.1494871E+2	
 8.7858400E+6	 1.9557542E+0	 6.7098194E+2	
 8.7861190E+6	 1.9796049E+0	 6.2774789E+2	
 8.7863990E+6	 2.0034555E+0	 5.9013188E+2	
 8.7866780E+6	 2.0273062E+0	 5.6106496E+2	
 8.7869570E+6	 2.0511569E+0	 5.3932583E+2	
 8.7872370E+6	 2.0750075E+0	 5.2931118E+2	
 8.7875160E+6	 2.0988582E+0	 5.2784562E+2	
 8.7877950E+6	 2.1227088E+0	 5.3639472E+2	
 8.7880750E+6	 2.1465595E+0	 5.5886662E+2	
 8.7883540E+6	 2.1704102E+0	 5.8671224E+2	
 8.7886330E+6	 2.1942608E+0	 6.1895454E+2	
 8.7889120E+6	 2.2181115E+0	 6.5608209E+2	
 8.7891920E+6	 2.2419621E+0	 6.9320959E+2	
 8.7894710E+6	 2.2658128E+0	 7.2227651E+2	
 8.7897500E+6	 2.2896635E+0	 7.4425989E+2	
